Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
133.02226305	50	74.62292	23.304398	118.622536	18.895706	21.0	0.0	3.5534723	3.5534723	3.5572898	3.5572898	-0.7199044	0.282965	0.2526125	0.44698873	0.7451657	1008	51408
135.464251995	51	80.57332	25.125566	128.506	-0.78635615	21.0	0.0	3.8368247	3.8368247	3.8386352	3.8386352	-0.67091936	0.16631077	0.13806647	0.30724347	0.684726	1008	52416
137.922988176	52	77.49517	24.933697	118.77838	18.840496	21.0	0.0	3.6902466	3.6902466	3.6933541	3.6933541	-0.6607806	0.23207368	0.26974347	0.6219361	0.687755	1008	53424
140.278820038	53	82.46184	18.419092	118.52282	38.764496	21.0	0.0	3.9267542	3.9267542	3.9328988	3.9328988	-0.65474594	0.20596156	0.25651574	0.47132012	0.6803975	1008	54432
142.642793179	54	80.54544	19.934431	118.414505	18.948742	21.0	0.0	3.8354971	3.8354971	3.839848	3.839848	-0.66318774	0.18287209	0.23385909	0.53140295	0.6865736	1008	55440
145.016975164	55	79.59152	20.772886	118.65463	29.015453	21.0	0.0	3.7900724	3.7900724	3.7942934	3.7942934	-0.6583003	0.17763223	0.25070977	0.5440952	0.6833712	1008	56448
147.621320009	56	81.209236	21.523977	118.345215	18.98851	21.0	0.0	3.8671067	3.8671067	3.869604	3.869604	-0.6721839	0.16399285	0.15103282	0.37978518	0.68728715	1008	57456
150.080285072	57	86.01908	19.284494	118.51324	38.954308	21.0	0.0	4.096147	4.096147	4.0999494	4.0999494	-0.693018	0.2727697	0.24496505	0.57374173	0.71751446	1008	58464
152.493529081	58	84.72288	18.682014	118.59438	38.824665	21.0	0.0	4.034423	4.034423	4.0365696	4.0365696	-0.6647105	0.18236974	0.14952244	0.42501402	0.6796628	1008	59472
154.889882088	59	84.7123	22.669773	118.59668	28.863403	21.0	0.0	4.033919	4.033919	4.0366488	4.0366488	-0.68828607	0.15236051	0.14782833	0.3525829	0.7030689	1008	60480
157.477463007	60	87.22611	20.799986	118.62584	19.134895	21.0	0.0	4.1536245	4.1536245	4.156347	4.156347	-0.67831457	0.18448876	0.15889123	0.36429876	0.6942036	1008	61488
159.860737085	61	82.875145	22.403189	118.53418	19.180202	21.0	0.0	3.9464355	3.9464355	3.9520159	3.9520159	-0.6605519	0.21242882	0.20414726	0.56601757	0.68096656	1008	62496
162.224660158	62	83.93067	21.082619	108.65476	-0.8968294	21.0	0.0	3.996699	3.996699	4.0011296	4.0011296	-0.6511754	0.17183073	0.19407254	0.42863426	0.6705826	1008	63504
164.595840216	63	87.81701	21.047636	138.35468	39.00479	21.0	0.0	4.1817627	4.1817627	4.1853037	4.1853037	-0.669972	0.161053	0.1653823	0.3862885	0.68651026	1008	64512
167.009930134	64	81.822945	22.990238	118.59236	18.98913	21.0	0.0	3.8963308	3.8963308	3.898617	3.898617	-0.6653306	0.12901464	0.17039013	0.5425241	0.6823696	1008	65520
169.499443054	65	83.12773	18.021397	118.350815	48.76169	21.0	0.0	3.9584637	3.9584637	3.961068	3.961068	-0.6981459	0.13175659	0.12370375	0.33914852	0.71051633	1008	66528
