Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
765.5878050327301	55	-53.481334140445625	-1.0197542755305702	10.418836683373748	-35.484972896612845	-127.58818126092469	20.0	0.0	252	564480	-50.87522893706926	-0.8897438365987554
779.88214802742	56	-52.71165551793492	-0.9634695458805128	9.091810073486744	-36.335913761927934	-100.38908284136554	19.977083333333333	0.5015557393971503	252	574560	-50.31536777058599	-0.9254269076623517
794.2765538692474	57	-51.18522804900272	-0.9277527520411127	8.844753039025665	-33.6058512069626	-101.2585209007764	19.945833333333333	0.780747060335306	252	584640	-49.92686320633383	-0.815684732987758
808.6099488735199	58	-51.18597128212812	-0.9063041657672366	9.964847460292809	-36.02411442179494	-131.31513211171648	20.0	0.0	252	594720	-49.60669173082098	-0.8835889919657235
822.9302349090576	59	-50.97801059575678	-0.8616666615995678	11.166750401830198	-34.31864312987273	-173.1519785168176	20.0	0.0	252	604800	-48.78865055176948	-0.7848525575078855
837.2652518749237	60	-48.291820767934745	-0.808857846700721	8.669444984539428	-29.422663227371615	-127.86467004498354	19.960416666666667	0.6773845483836259	252	614880	-46.66061537943233	-0.8180219994580818
851.6200020313263	61	-47.02680488001244	-0.7846332085344113	7.947060497359251	-32.83274108476084	-110.00021394119184	20.0	0.0	252	624960	-46.11681470968341	-0.7909862803985979
865.9286949634552	62	-47.30378049343449	-0.777387438094567	8.132840131553015	-28.81896375299225	-118.25891525541691	19.927083333333332	0.9730192665387235	252	635040	-43.46959886793195	-0.6634260086664671
880.2245950698853	63	-46.11577363179342	-0.735155033564358	7.420056312340269	-32.27585326750423	-92.00681881167237	19.985416666666666	0.3191718341618229	252	645120	-45.1406615542842	-0.7189957740325736
894.7168600559235	64	-45.24930821650533	-0.7006908165977755	9.473861053062066	-30.52786237034869	-176.8824442906037	20.0	0.0	252	655200	-42.8644955565268	-0.5794793614354395
909.228982925415	65	-43.9871647554605	-0.6794900644416546	7.198311102197077	-27.98381602417225	-84.71392953830241	20.0	0.0	252	665280	-44.16175452315513	-0.654543820747707
923.9108610153198	66	-44.218710244735185	-0.6535471620259617	7.630306369174109	-26.679956120741394	-97.58044451285303	19.975	0.5471517157059824	252	675360	-43.03672293199122	-0.5837580600869782
